subject,variance_explained_ratio
S1,0.269506022118127
S10,0.35051125759564544
S11,0.1397679974118508
S12,0.5839517375902843
S13,0.22896860765311278
S14,0.7155297114654297
S15,0.3671088356012688
S16,0.5023672690776315
S17,0.23744952618800444
S18,0.25184405601092386
S19,0.5304014609208562
S2,0.39762486552199994
S20,0.4104858391167807
S21,0.4111958840674886
S22,0.20577915744835729
S23,0.3424770888334237
S24,0.44468170088057035
S25,0.29472476478770415
S26,0.263199871186648
S27,0.3426020265376992
S28,0.25096904069555925
S29,0.6734208707568115
S3,0.7131017791281572
S30,0.23815341723608724
S31,0.31439871587674234
S32,0.5373124417915617
S33,0.417197798931455
S34,0.22557648023075377
S35,0.26599220689113184
S4,0.4854503411374996
S5,0.32102123219140305
S6,0.4181754030165236
S7,0.4532629140429304
S8,0.19133940169679567
S9,0.2589847591144875
