subject,raw_accuracy,residual_accuracy,acc_delta
S1,0.14166666666666666,0.17083333333333334,0.029166666666666674
S10,0.14166666666666666,0.13333333333333333,-0.008333333333333331
S11,0.175,0.175,0.0
S12,0.15416666666666667,0.1875,0.033333333333333326
S13,0.175,0.15,-0.024999999999999994
S14,0.14583333333333334,0.175,0.029166666666666646
S15,0.18333333333333332,0.16666666666666666,-0.016666666666666663
S16,0.20416666666666666,0.2125,0.008333333333333331
S17,0.14166666666666666,0.1625,0.020833333333333343
S18,0.175,0.17083333333333334,-0.004166666666666652
S19,0.125,0.13333333333333333,0.008333333333333331
S2,0.15416666666666667,0.15,-0.00416666666666668
S20,0.15833333333333333,0.17083333333333334,0.012500000000000011
S21,0.18333333333333332,0.17916666666666667,-0.004166666666666652
S22,0.19583333333333333,0.16666666666666666,-0.029166666666666674
S23,0.175,0.17916666666666667,0.00416666666666668
S24,0.1875,0.17083333333333334,-0.016666666666666663
S25,0.19583333333333333,0.18333333333333332,-0.012500000000000011
S26,0.21666666666666667,0.18333333333333332,-0.033333333333333354
S27,0.17083333333333334,0.1875,0.016666666666666663
S28,0.19166666666666668,0.19583333333333333,0.004166666666666652
S29,0.14166666666666666,0.15,0.008333333333333331
S3,0.17083333333333334,0.15416666666666667,-0.016666666666666663
S30,0.1625,0.19166666666666668,0.029166666666666674
S31,0.17083333333333334,0.1625,-0.008333333333333331
S32,0.18333333333333332,0.20416666666666666,0.020833333333333343
S33,0.18333333333333332,0.2,0.01666666666666669
S34,0.16666666666666666,0.1375,-0.029166666666666646
S35,0.18333333333333332,0.16666666666666666,-0.016666666666666663
S4,0.175,0.18333333333333332,0.008333333333333331
S5,0.14166666666666666,0.13333333333333333,-0.008333333333333331
S6,0.175,0.16666666666666666,-0.008333333333333331
S7,0.17083333333333334,0.17083333333333334,0.0
S8,0.15416666666666667,0.1875,0.033333333333333326
S9,0.15833333333333333,0.15833333333333333,0.0
