window_s,subject,accuracy
0.5,S1,0.229167
0.5,S2,0.341667
0.5,S3,0.595833
0.5,S4,0.533333
0.5,S5,0.275000
0.5,S6,0.187500
0.5,S7,0.175000
0.5,S8,0.095833
0.5,S9,0.158333
0.5,S10,0.145833
0.5,S11,0.075000
0.5,S12,0.216667
0.5,S13,0.166667
0.5,S14,0.283333
0.5,S15,0.079167
0.5,S16,0.066667
0.5,S17,0.087500
0.5,S18,0.283333
0.5,S19,0.033333
0.5,S20,0.125000
0.5,S21,0.104167
0.5,S22,0.329167
0.5,S23,0.325000
0.5,S24,0.258333
0.5,S25,0.245833
0.5,S26,0.300000
0.5,S27,0.183333
0.5,S28,0.283333
0.5,S29,0.129167
0.5,S30,0.129167
0.5,S31,0.366667
0.5,S32,0.283333
0.5,S33,0.104167
0.5,S34,0.241667
0.5,S35,0.050000
0.7,S1,0.458333
0.7,S2,0.641667
0.7,S3,0.870833
0.7,S4,0.758333
0.7,S5,0.541667
0.7,S6,0.366667
0.7,S7,0.450000
0.7,S8,0.175000
0.7,S9,0.354167
0.7,S10,0.370833
0.7,S11,0.108333
0.7,S12,0.495833
0.7,S13,0.341667
0.7,S14,0.520833
0.7,S15,0.191667
0.7,S16,0.191667
0.7,S17,0.191667
0.7,S18,0.408333
0.7,S19,0.050000
0.7,S20,0.345833
0.7,S21,0.187500
0.7,S22,0.687500
0.7,S23,0.579167
0.7,S24,0.470833
0.7,S25,0.491667
0.7,S26,0.591667
0.7,S27,0.429167
0.7,S28,0.550000
0.7,S29,0.204167
0.7,S30,0.275000
0.7,S31,0.683333
0.7,S32,0.641667
0.7,S33,0.162500
0.7,S34,0.525000
0.7,S35,0.216667
1.0,S1,0.616667
1.0,S2,0.825000
1.0,S3,0.962500
1.0,S4,0.883333
1.0,S5,0.870833
1.0,S6,0.645833
1.0,S7,0.687500
1.0,S8,0.358333
1.0,S9,0.691667
1.0,S10,0.687500
1.0,S11,0.212500
1.0,S12,0.845833
1.0,S13,0.612500
1.0,S14,0.808333
1.0,S15,0.379167
1.0,S16,0.383333
1.0,S17,0.420833
1.0,S18,0.633333
1.0,S19,0.145833
1.0,S20,0.675000
1.0,S21,0.445833
1.0,S22,0.895833
1.0,S23,0.858333
1.0,S24,0.779167
1.0,S25,0.775000
1.0,S26,0.829167
1.0,S27,0.820833
1.0,S28,0.812500
1.0,S29,0.362500
1.0,S30,0.612500
1.0,S31,0.908333
1.0,S32,0.895833
1.0,S33,0.266667
1.0,S34,0.808333
1.0,S35,0.487500
