subject,t_from_onset_s,slope_uv_per_deg,r
S1,-0.4,-0.08490830169402645,-0.8036396250662682
S1,-0.36,-0.22039569721559693,-0.9391905957307807
S1,-0.32,-0.4108834910892955,-0.9791368792090209
S1,-0.28,-0.6146899003732336,-0.9918269891093567
S1,-0.24,-0.7834637897463034,-0.9956630111947686
S1,-0.2,-0.8825045027600629,-0.9954446446348245
S1,-0.16,-0.9042222208428308,-0.9928056299822277
S1,-0.12,-0.8676103178515351,-0.9889381308009539
S1,-0.08,-0.8033349435405409,-0.9850531695469175
S1,-0.04,-0.7358519233571131,-0.9818208344983502
S1,0.0,-0.6752276369644002,-0.978903120227322
S1,0.04,-0.6204901988569962,-0.9753727649841084
S1,0.08,-0.5673515660729577,-0.9703403753428421
S1,0.12,-0.5133108454469291,-0.9632135133429285
S1,0.16,-0.45846700415435593,-0.9537979393293299
S1,0.2,-0.4040729987398424,-0.941774877033484
S1,0.24,-0.3510944397422392,-0.9255689420317359
S1,0.28,-0.29984794749465155,-0.9020781789361383
S1,0.32,-0.2504373475646916,-0.866606198112728
S1,0.36,-0.20305861073530845,-0.8102117112480107
S1,0.4,-0.15800669194178735,-0.7180886656598572
S1,0.44,-0.1157412602659419,-0.5806500952092006
S1,0.48,-0.07690226319359726,-0.41032784473849804
S1,0.52,-0.04211329163237252,-0.2329292536932785
S1,0.56,-0.011677804180248361,-0.06612020757421166
S1,0.6,0.01476152714041347,0.08495252108855217
S1,0.64,0.03835297282370941,0.22233026339577694
S1,0.68,0.060602750097909504,0.3480081618449805
S1,0.72,0.08259387132392294,0.4580466838688151
S1,0.76,0.10438938539126841,0.5436755507973933
S1,0.8,0.12507879624039425,0.5988568963385461
S1,0.84,0.14349090128124806,0.6273827012953698
S1,0.88,0.15901109968582736,0.6422383101009949
S1,0.92,0.171818221817767,0.6571735874966946
S1,0.96,0.18267388897599043,0.6794289856475351
S1,1.0,0.19286944087693356,0.7083891738210987
S1,1.04,0.20403409480977278,0.7384228528832203
S1,1.08,0.2171601966596919,0.7640805582945068
S1,1.12,0.23153451720161747,0.7836662454617407
