window,channel,x,y,row_acc,col_acc,activation_pattern
pre-stim_-0.50_to_0.00s,FP1,-0.1924464496629584,0.5922892699155132,0.2725,0.13916666666666666,0.9537149123168011
pre-stim_-0.50_to_0.00s,FPZ,0.0,0.622769793137825,0.2841666666666667,0.115,1.0
pre-stim_-0.50_to_0.00s,FP2,0.1924464496629584,0.5922892699155132,0.2708333333333333,0.14916666666666667,0.9105666071535584
pre-stim_-0.50_to_0.00s,AF3,-0.19572631237744492,0.46110229606836256,0.2608333333333333,0.1475,0.9103447290186193
pre-stim_-0.50_to_0.00s,AF4,0.19572631237744492,0.46110229606836256,0.26,0.16416666666666666,0.7876704283418007
pre-stim_-0.50_to_0.00s,F7,-0.5038313462318709,0.36605489997964774,0.20666666666666667,0.27,0.2541858120915358
pre-stim_-0.50_to_0.00s,F5,-0.38316449267044905,0.3330798118805041,0.21916666666666668,0.27,0.3590327414444736
pre-stim_-0.50_to_0.00s,F3,-0.2555991277378157,0.31563863605626796,0.23333333333333334,0.22416666666666665,0.6673952487234294
pre-stim_-0.50_to_0.00s,F1,-0.12679132837194124,0.31381954998058037,0.25166666666666665,0.1425,0.772987801331166
pre-stim_-0.50_to_0.00s,FZ,0.0,0.31139098889535044,0.25416666666666665,0.13416666666666666,0.9893285186674434
pre-stim_-0.50_to_0.00s,F2,0.12679132837194124,0.31381954998058037,0.24166666666666667,0.15416666666666667,0.8638251411352272
pre-stim_-0.50_to_0.00s,F4,0.2555991277378157,0.31563863605626796,0.23916666666666667,0.22333333333333333,0.7240403123245466
pre-stim_-0.50_to_0.00s,F6,0.38316449267044905,0.3330798118805041,0.22416666666666665,0.26416666666666666,0.4717281593185249
pre-stim_-0.50_to_0.00s,F8,0.5038313462318709,0.36605489997964774,0.19583333333333333,0.3408333333333333,0.1295077940948092
pre-stim_-0.50_to_0.00s,FT7,-0.5922892699155132,0.19244644966295846,0.225,0.27,0.2971705446625537
pre-stim_-0.50_to_0.00s,FC5,-0.4486894406361628,0.17223573916038115,0.205,0.2725,0.24964286734533964
pre-stim_-0.50_to_0.00s,FC3,-0.2988471109399219,0.15889982751154078,0.21666666666666667,0.20583333333333334,0.5533212621524781
pre-stim_-0.50_to_0.00s,FC1,-0.15317259329874983,0.15317259329874983,0.23666666666666666,0.16583333333333333,0.6830386884299098
pre-stim_-0.50_to_0.00s,FCz,0.0,0.15569549444767522,0.25833333333333336,0.13,0.806053969012664
pre-stim_-0.50_to_0.00s,FC2,0.15317259329874983,0.15317259329874983,0.22833333333333333,0.18416666666666667,0.6678404803650856
pre-stim_-0.50_to_0.00s,FC4,0.2988471109399219,0.15889982751154078,0.22083333333333333,0.2575,0.6494756172277395
pre-stim_-0.50_to_0.00s,FC6,0.4486894406361628,0.17223573916038115,0.19,0.3225,0.12865035294273347
pre-stim_-0.50_to_0.00s,FT8,0.5922892699155132,0.19244644966295846,0.21583333333333332,0.33916666666666667,0.25966618258913565
pre-stim_-0.50_to_0.00s,T7,-0.622769793137825,3.8133651688594835e-17,0.23416666666666666,0.2575,0.5723875366963258
pre-stim_-0.50_to_0.00s,C5,-0.4670742986901498,2.860005224274434e-17,0.22333333333333333,0.2675,0.22529576582968847
pre-stim_-0.50_to_0.00s,C3,-0.31139098889535044,1.9067198891700998e-17,0.22333333333333333,0.25666666666666665,0.0505650440736036
pre-stim_-0.50_to_0.00s,C1,-0.15569549444767522,9.533599445850499e-18,0.21916666666666668,0.19166666666666668,0.2884712175237952
pre-stim_-0.50_to_0.00s,Cz,0.0,0.0,0.2375,0.12583333333333332,0.37022611170559017
pre-stim_-0.50_to_0.00s,C2,0.15569549444767522,9.533599445850499e-18,0.22916666666666666,0.23666666666666666,0.38177549377958914
pre-stim_-0.50_to_0.00s,C4,0.31139098889535044,1.9067198891700998e-17,0.19916666666666666,0.2975,0.24154600153114694
pre-stim_-0.50_to_0.00s,C6,0.4670742986901498,2.860005224274434e-17,0.19833333333333333,0.2975,0.3250751730733938
pre-stim_-0.50_to_0.00s,T8,0.622769793137825,3.8133651688594835e-17,0.22,0.2975,0.46082128283577467
pre-stim_-0.50_to_0.00s,M1,0.8664628506549251,5.305554783173226e-17,0.29,0.18416666666666667,0.9125405282924379
pre-stim_-0.50_to_0.00s,TP7,-0.5922892699155132,-0.19244644966295837,0.2608333333333333,0.22,0.8494551755133424
pre-stim_-0.50_to_0.00s,CP5,-0.4486894406361628,-0.17223573916038112,0.23,0.23916666666666667,0.6849335552502754
pre-stim_-0.50_to_0.00s,CP3,-0.2988471109399219,-0.15889982751154083,0.22666666666666666,0.23083333333333333,0.2758199232528982
pre-stim_-0.50_to_0.00s,CP1,-0.15317259329874983,-0.1531725932987498,0.23,0.23083333333333333,0.21586592672589497
pre-stim_-0.50_to_0.00s,CPZ,1.9067198891700998e-17,-0.15569549444767522,0.20833333333333334,0.15083333333333335,0.19660929973020347
pre-stim_-0.50_to_0.00s,CP2,0.15317259329874983,-0.1531725932987498,0.205,0.21,0.3153690755979978
pre-stim_-0.50_to_0.00s,CP4,0.2988471109399219,-0.15889982751154083,0.21666666666666667,0.22583333333333333,0.31927528707486963
pre-stim_-0.50_to_0.00s,CP6,0.4486894406361628,-0.17223573916038112,0.23,0.25,0.5396352930175811
pre-stim_-0.50_to_0.00s,TP8,0.5922892699155132,-0.19244644966295837,0.24083333333333334,0.23083333333333333,0.5787723609266855
pre-stim_-0.50_to_0.00s,M2,-0.8664628506549251,5.305554783173226e-17,0.2875,0.1825,0.5425057860932763
pre-stim_-0.50_to_0.00s,P7,-0.5038313462318709,-0.3660548999796477,0.275,0.2175,0.9429599346432538
